"","game_id","name","interaction"
"126",172386,"Mombasa",2.60744878614195
"127",269385,"The Lord of the Rings: Journeys in Middle-Earth",2.9166244428752
"128",217372,"The Quest for El Dorado",2.69110023608826
"129",371942,"The White Castle",2.0130726091053
"130",180263,"The 7th Continent",2.82101428778592
"131",12493,"Twilight Imperium: Third Edition",4.9622861984778
"132",163412,"Patchwork",4.11370944938994
"133",144733,"Russian Railroads",2.8623381410668
"134",102680,"Trajan",2.86549801655182
"135",12,"Ra",3.64623709129182
"136",36218,"Dominion",2.81695820555194
"137",4098,"Age of Steam",3.56879253603635
"138",205896,"Rising Sun",5
"139",43015,"Hansa Teutonica",3.59720520085722
"140",380607,"Great Western Trail: New Zealand",2.05923623523289
"141",218417,"Aeon's End: War Eternal",3.05824092855994
"142",175640,"Vinhos: Deluxe Edition",3.32072265705313
"143",310100,"Nemesis: Lockdown",3.72022554110785
"144",233371,"Clank! In! Space!: A Deck-Building Adventure",3.21312752558254
"145",198928,"Iberia",3.42144031132123
"146",175155,"Forbidden Stars",4.32705872465546
"147",196340,"Yokohama",2.52676422230411
"148",240980,"Blood on the Clocktower",4.72250979599735
"149",178900,"Codenames",4.14846159345151
"150",332398,"Everdell: The Complete Collection",2.08580361768936
"151",227935,"Wonderland's War",3.04949792116588
"152",172287,"Champions of Midgard",2.11798572324996
"153",337627,"Voidfall",3.3507966618945
"154",254640,"Just One",4.03232041746681
"155",266524,"PARKS",2.32024768241439
"156",132531,"Roll for the Galaxy",2.19892102470347
"157",281259,"The Isle of Cats",2.29673203625217
"158",30549,"Pandemic",3.50910739517305
"159",160069,"Ticket to Ride: 10th Anniversary",2.9095031713787
"160",220877,"Rajas of the Ganges",2.44120495626858
"161",118048,"Targi",3.77727447353231
"162",263918,"Cartographers",2.81297749014103
"163",304783,"Hadrian's Wall",2.75218520474616
"164",390092,"Ticket to Ride Legacy: Legends of the West",2.5873022919396
"165",262712,"Res Arcana",3.20246065355946
"166",147020,"Star Realms",3.47316426848129
"167",274364,"Watergate",4.23989585552647
"168",161970,"Alchemists",2.9685992512393
"169",189932,"Tyrants of the Underdark",3.59723531529634
"170",308765,"Praga Caput Regni",3.01095088531061
"171",271324,"It's a Wonderful World",2.32886501699372
"172",268864,"Undaunted: Normandy",3.93742396565597
"173",14996,"Ticket to Ride: Europe",2.56606267947444
"174",463,"Magic: The Gathering",4.37850842672841
"175",127023,"Kemet",4.28103320078569
"176",34635,"Stone Age",1.98927074720119
"177",2511,"Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases",3.59187944534243
"178",235802,"Too Many Bones: Undertow",2.59280505949272
"179",77423,"The Lord of the Rings: The Card Game",3.26870139957362
"180",233398,"Endeavor: Age of Sail",3.51913694094227
"181",325494,"ISS Vanguard",2.4647567695307
"182",328871,"Terraforming Mars: Ares Expedition",2.26663088833954
"183",146652,"Legendary Encounters: An Alien Deck Building Game",3.19253120068242
"184",296151,"Viscounts of the West Kingdom",2.51999664978212
"185",249259,"War Chest",4.56536440359419
"186",265188,"Glen More II: Chronicles",3.07807053490772
"187",148949,"Istanbul",2.88611948769196
"188",103885,"Star Wars: X-Wing Miniatures Game",4.76909498052251
"189",283948,"Marco Polo II: In the Service of the Khan",2.3500151467373
"190",209418,"Dominion (Second Edition)",2.82057822054079
"191",294484,"Unmatched: Cobble & Fog",4.07005101908692
"192",329082,"Radlands",4.16839662628403
"193",244522,"That's Pretty Clever!",2.6338386691326
"194",82222,"Xia: Legends of a Drift System",3.44167104703737
"195",233867,"Welcome To...",1.60477676347439
"196",54043,"Jaipur",3.63905344180776
"197",414317,"Harmonies",2.27430710267383
"198",350184,"Earth",2.05716503775996
"199",9609,"War of the Ring",3.92043473753369
"200",258779,"Planet Unknown",2.89297403667186
"201",43111,"Chaos in the Old World",4.84114047499961
"202",339789,"Welcome to the Moon",2.25663332411501
"203",283355,"Dune",5
"204",188920,"This War of Mine: The Board Game",2.88854434134817
"205",396790,"Nucleum",2.33124122827412
"206",154597,"Hive Pocket",4.16437933711044
"207",271896,"Star Wars: Outer Rim",2.61984095777722
"208",10630,"Memoir '44",5
"209",104162,"Descent: Journeys in the Dark (Second Edition)",3.65037139966609
"210",410201,"Wyrmspan",2.69467032303818
"211",227224,"The Red Cathedral",2.26544186505861
"212",25021,"Sekigahara: The Unification of Japan",4.6673701087496
"213",39463,"Cosmic Encounter",4.13394698105903
"214",314491,"Meadow",2.53770947880033
"215",155426,"Castles of Mad King Ludwig",2.48487218128996
"216",199561,"Sagrada",1.25167111638914
"217",282524,"Horrified",3.51046329788346
"218",338960,"Slay the Spire: The Board Game",2.33403220554845
"219",287954,"Azul: Summer Pavilion",2.33355792401918
"220",17133,"Railways of the World",3.16492753355969
"221",364011,"Great Western Trail: Argentina",2.05923623523289
"222",128882,"The Resistance: Avalon",4.61953565134174
"223",242302,"Space Base",2.91014789676284
"224",70149,"Ora et Labora",3.10026573199063
"225",103343,"A Game of Thrones: The Board Game (Second Edition)",4.8428000165575
"226",31627,"Ticket to Ride: Nordic Countries",3.08349970100867
"227",118,"Modern Art",4.17232097564838
"228",188,"Go",4.28099018886501
"229",300531,"Paleo",3.16217360663945
"230",14105,"Commands & Colors: Ancients",4.63556252260216
"231",171131,"Captain Sonar",4.303845693103
"232",123260,"Suburbia",1.91515053520741
"233",316377,"7 Wonders (Second Edition)",3.03585813698298
"234",104006,"Village",2.7784716394092
"235",150376,"Dead of Winter: A Crossroads Game",4.14508927928754
"236",148228,"Splendor",2.50188968364965
"237",822,"Carcassonne",2.93950665063903
"238",285967,"Ankh: Gods of Egypt",4.31023687262973
"239",293014,"Nidavellir",3.52606139413373
"240",215,"Tichu",4.03100391295605
"241",299659,"Clash of Cultures: Monumental Edition",3.09654974585899
"242",241451,"Aeon's End: Legacy",2.59799061454833
"243",182631,"Star Realms: Colony Wars",3.64765575001277
"244",374173,"Star Wars: The Deckbuilding Game",3.3993783619406
"245",91,"Paths of Glory",4.34402404041805
"246",256680,"Return to Dark Tower",2.74680102030374
"247",306735,"Under Falling Skies",3.85332335103015
"248",245638,"Coimbra",2.70713972025433
"249",126042,"Nations",2.82791907225789
"250",7854,"YINSH",3.60604937976174
"251",195421,"Near and Far",2.25864982013152
"252",269207,"The Taverns of Tiefenthal",2.01910077758234
"253",295486,"My City",2.45933751791578
"254",9209,"Ticket to Ride",2.56606267947444
"255",359871,"Arcs",4.35827274342535
"256",21050,"Combat Commander: Europe",4.80539030265138
"257",283155,"Calico",1.81692671935524
"258",54998,"Cyclades",3.68137906133396
"259",221194,"Dinosaur Island",2.39675332320972
"260",188834,"Secret Hitler",5
"261",165722,"KLASK",3.9343445095596
"262",146886,"La Granja",2.34851482450775
"263",224037,"Codenames: Duet",4.44357005493192
"264",129437,"Legendary: A Marvel Deck Building Game",2.34065987532061
"265",232832,"Century: Golem Edition",2.41505397065608
"266",223040,"Fantasy Realms",2.91320372235464
"267",260605,"Camel Up (Second Edition)",3.29290693176942
"268",158600,"Hanamikoji",4.04491797852081
"269",332686,"John Company: Second Edition",3.56631594918249
"270",274637,"Unmatched: Battle of Legends, Volume One",4.11594574348017
"271",156129,"Deception: Murder in Hong Kong",4.32263289947651
"272",176189,"Zombicide: Black Plague",3.56411326718433
"273",318977,"MicroMacro: Crime City",3.31363572870079
"274",359609,"Arkham Horror: The Card Game (Revised Edition)",2.80079807361192
"275",192291,"Sushi Go Party!",2.8420236585928
"276",199478,"Flamme Rouge",3.35896291941472
"277",169426,"Roll Player",2.40940433295944
"278",176494,"Isle of Skye: From Chieftain to King",3.10722150052743
"279",555,"The Princes of Florence",3.19915227805544
"280",300322,"Hallertau",2.66271183737781
"281",224783,"Vindication",3.67205181006816
"282",3,"Samurai",3.5244323311346
"283",19857,"Glory to Rome",2.95881839942478
"284",109276,"Kanban: Driver's Edition",3.02242021265608
"285",228341,"Pulsar 2849",2.93803580349144
"286",194655,"Santorini",4.24766291950814
"287",9216,"Goa: A New Expedition",3.50064188060591
"288",198994,"Hero Realms",3.45145642603474
"289",232405,"Western Legends",3.32524865955307
"290",286096,"Tapestry",3.065605432518
"291",421,"1830: Railways & Robber Barons",3.81830986307564
"292",255668,"Trickerion: Collector's Edition",2.71250749003255
"293",223321,"Detective: A Modern Crime Board Game",3.38784191568119
"294",20551,"Shogun",3.95546606439948
"295",31481,"Galaxy Trucker",3.26974741520838
"296",311193,"Anno 1800: The Board Game",2.87149002249879
"297",305096,"Endless Winter: Paleoamericans",2.10706981058392
"298",329841,"Ticket to Ride: Europe – 15th Anniversary",2.9095031713787
"299",128621,"Viticulture",2.6836138020083
"300",27708,"1960: The Making of the President",4.07433275429033
"301",239188,"Chronicles of Crime",2.91614351829339
"302",296100,"Rococo: Deluxe Edition",2.78209184362982
"303",140620,"Lewis & Clark: The Expedition",2.21773380035741
"304",284653,"Mind MGMT: The Psychic Espionage “Game.”",4.60289792585144
"305",323612,"Bitoku",2.48223787442956
"306",156546,"Monikers",3.64084882198509
"307",391163,"Forest Shuffle",2.97055066662718
"308",27833,"Steam",3.70786107474038
"309",127060,"Bora Bora",2.47448718865698
"310",204583,"Kingdomino",2.55445489128312
"311",291572,"Oath",5
"312",298047,"Marvel United",3.48305362831217
"313",760,"Battle Line",3.73795660036823
"314",146508,"T.I.M.E Stories",3.1472748779395
"315",230253,"Star Realms: Frontiers",3.02829440582347
"316",297562,"Kemet: Blood and Sand",4.26589083693009
"317",302723,"Forgotten Waters",3.04771002677222
"318",144344,"Rococo",3.00797517793801
"319",2655,"Hive",4.16437933711044
"320",329591,"Ultimate Railroads",2.91852213825001
"321",351913,"Tiletum",2.85295480373301
"322",244271,"Dice Throne: Season Two – Battle Chest",3.60661585433305
"323",246784,"Cryptid",4.34463359930117
"324",139976,"Cthulhu Wars",3.6985399712597
"325",206718,"Ethnos",3.42914584181942
"326",92828,"Dixit: Odyssey",3.54814261843732
"327",155068,"Arcadia Quest",3.90468013168029
"328",108745,"Seasons",3.4335596892386
"329",270633,"Aeon's End: The New Age",3.02777212633928
"330",150145,"Skull King",3.51518433158739
"331",329839,"So Clover!",4.1321832525608
"332",295374,"Long Shot: The Dice Game",2.67964195109268
"333",176734,"The Manhattan Project: Energy Empire",2.5164718815234
"334",24181,"Imperial",4.03679930505058
"335",19777,"Indonesia",3.48561696987653
"336",356123,"Turing Machine",3.24979056319225
"337",46213,"Telestrations",4.10842615436593
"338",66589,"Navegador",3.62475950278768
"339",160477,"Onitama",4.62327443531855
"340",230914,"Carcassonne Big Box 6",2.75498752844593
"341",97207,"Dungeon Petz",3.02593788512736
"342",257499,"Arkham Horror (Third Edition)",3.79144080108016
"343",171908,"El Grande Big Box",3.58459857368679
"344",155873,"Power Grid Deluxe: Europe/North America",3.51402559667114
"345",50,"Lost Cities",3.73939125407359
"346",295895,"Distilled",3.43689410523385
"347",38453,"Space Alert",3.45614067980816
"348",22545,"Age of Empires III: The Age of Discovery",3.38851566500314
"349",318184,"Imperium: Classics",2.57150865422466
"350",172,"For Sale",4.01713175998427
"351",284189,"Foundations of Rome",3.23575913109772
"352",245655,"The King's Dilemma",3.82101860121362
"353",277085,"Love Letter",4.21413394288548
"354",251219,"Istanbul: Big Box",3.01129484585739
"355",154203,"Imperial Settlers",2.16745151398723
"356",367220,"Sea Salt & Paper",2.90688439576139
"357",111341,"The Great Zimbabwe",3.41208470060503
"358",345972,"Cat in the Box: Deluxe Edition",3.43941333309588
"359",187617,"Nemo's War (Second Edition)",3.95010562768728
"360",262211,"Cloudspire",3.26616693828268
"361",319966,"The King Is Dead: Second Edition",4.42539659961874
"362",143693,"Glass Road",1.60034236910332
"363",2653,"Survive: Escape from Atlantis!",3.88875574792096
"364",181279,"Fury of Dracula (Third/Fourth Edition)",3.9001629596871
"365",129622,"Love Letter",4.02561502518575
"366",5,"Acquire",3.88366471199089
"367",54,"Tikal",4.07225202167008
"368",93260,"Summoner Wars: Master Set",3.40458973196774
"369",285192,"Destinies",2.36005975137818
"370",209685,"Century: Spice Road",2.27457682074022
"371",184921,"Bunny Kingdom",3.63711592398589
"372",136888,"Bruges",3.03760603845193
"373",54138,"Imperial 2030",3.98728456566848
"374",188866,"Awkward Guests: The Walton Case",3.83227841416177
"375",227789,"Heaven & Ale",3.20106212390939
"376",163967,"Tiny Epic Galaxies",2.50613912722705
"377",331106,"The Witcher: Old World",2.43295405796063
"378",59294,"Runewars",4.28108551127306
"379",48726,"Alien Frontiers",3.05514656227946
"380",400314,"Apiary",2.39512429672839
"381",332800,"Summoner Wars (Second Edition)",4.32158818189384
"382",203420,"Exit: The Game – The Abandoned Cabin",3.92340595306197
"383",47,"Chinatown",3.2802401859916
"384",234277,"Nusfjord",2.98314509547119
"385",40692,"Small World",3.89875480702369
"386",172081,"Burgle Bros.",3.84635425646227
"387",260180,"Project L",2.84594685642564
